timestamp_utc,region_code,region_friendly,instance_type,os,tenancy,price_usd
2026-08-09T09:39:11+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-10T10:16:00+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-10T10:16:00+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-10T10:16:00+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-10T10:16:00+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-11T10:00:13+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-11T10:00:13+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-11T10:00:13+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-11T10:00:13+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-12T10:04:34+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-12T10:04:34+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-12T10:04:34+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-12T10:04:34+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-13T10:05:44+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-13T10:05:44+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-13T10:05:44+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-13T10:05:44+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-14T10:01:45+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-14T10:01:45+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-14T10:01:45+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-14T10:01:45+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-15T09:25:39+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-15T09:25:39+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-15T09:25:39+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-15T09:25:39+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-16T09:26:38+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-16T09:26:38+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-16T09:26:38+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-16T09:26:38+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-17T09:41:05+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-17T09:41:05+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-17T09:41:05+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-17T09:41:05+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-18T09:33:02+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-18T09:33:02+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-18T09:33:02+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-18T09:33:02+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-19T09:33:33+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-19T09:33:33+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-19T09:33:33+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-19T09:33:33+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-20T09:33:55+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-20T09:33:55+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-20T09:33:55+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-20T09:33:55+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-21T09:36:04+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-21T09:36:04+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-21T09:36:04+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-21T09:36:04+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-22T09:25:59+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-22T09:25:59+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-22T09:25:59+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-22T09:25:59+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-23T09:27:24+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-23T09:27:24+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-23T09:27:24+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-23T09:27:24+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-24T09:47:32+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-24T09:47:32+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-24T09:47:32+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-24T09:47:32+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-25T09:34:52+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-25T09:34:52+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-25T09:34:52+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-25T09:34:52+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-26T09:40:48+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-26T09:40:48+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-26T09:40:48+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-26T09:40:48+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-27T19:27:08+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-27T19:27:08+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-27T19:27:08+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-27T19:27:08+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-28T20:43:21+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-28T20:43:21+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-28T20:43:21+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-28T20:43:21+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-29T14:11:09+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
